Altium Designer Pick and Place Locations
C:\Users\marce\Documents\CERN\APD\IPMC\Schematic\svn\trunk\Project Outputs for ZYNQ_IPMC\revB1\Pick Place\Pick Place for ZYNQ_IPMC.csv

========================================================================================================================
File Design Information:

Date:       20/06/19
Time:       15:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R55","BottomLayer","R0402_IPC_H","2775.591","877.953","360","Resistor"
"R56","BottomLayer","R0402_IPC_H","2767.716","555.118","180","Resistor"
"R57","BottomLayer","R0402_IPC_H","2720.472","539.370","90","Resistor"
"R58","BottomLayer","R0402_IPC_H","2685.039","464.567","90","Resistor"
"R59","BottomLayer","R0402_IPC_H","2653.543","539.370","90","Resistor"
"R60","BottomLayer","R0402_IPC_H","2622.047","551.181","90","Resistor"
"R61","BottomLayer","R0402_IPC_H","2590.551","574.803","90","Resistor"
"R62","BottomLayer","R0402_IPC_H","2578.740","1082.677","270","Resistor"
"R63","BottomLayer","R0201_IPC_H","2566.929","622.047","360","Resistor"
"R64","BottomLayer","R0402_IPC_H","2551.181","574.803","90","Resistor"
"R65","BottomLayer","R0402_IPC_H","2413.386","1078.740","270","Resistor"
"R66","BottomLayer","R0402_IPC_H","2354.331","1114.173","90","Resistor"
"R67","BottomLayer","R0402_IPC_H","2303.150","826.772","270","Resistor"
"R68","BottomLayer","R0402_IPC_H","2303.150","1114.173","90","Resistor"
"R69","BottomLayer","R0402_IPC_H","2251.968","826.772","270","Resistor"
"R70","BottomLayer","R0402_IPC_H","2228.347","1114.173","360","Resistor"
"R71","BottomLayer","R0402_IPC_H","2204.724","826.772","270","Resistor"
"R72","BottomLayer","R0402_IPC_H","1909.449","468.504","90","Resistor"
"R73","BottomLayer","R0201_IPC_H","1877.953","933.071","180","Resistor"
"R74","BottomLayer","R0402_IPC_H","1842.520","468.504","270","Resistor"
"R75","BottomLayer","R0402_IPC_H","1685.039","960.630","180","Resistor"
"R76","BottomLayer","R0402_IPC_H","1641.732","1110.236","90","Resistor"
"R77","BottomLayer","R0201_IPC_H","1566.929","1051.181","360","Resistor"
"R78","BottomLayer","R0402_IPC_H","1370.079","1118.110","180","Resistor"
"R79","BottomLayer","R0402_IPC_H","1314.961","610.236","360","Resistor"
"R80","BottomLayer","R0402_IPC_H","1299.213","562.992","270","Resistor"
"R81","BottomLayer","R0402_IPC_H","1220.472","925.197","180","Resistor"
"R82","BottomLayer","R0402_IPC_H","1173.228","720.472","90","Resistor"
"R83","BottomLayer","R0402_IPC_H","1141.732","972.441","270","Resistor"
"R84","BottomLayer","R0402_IPC_H","1141.732","877.953","90","Resistor"
"R85","BottomLayer","R0402_IPC_H","1129.921","1118.110","90","Resistor"
"R86","BottomLayer","R0402_IPC_H","1110.236","783.465","90","Resistor"
"R87","BottomLayer","R0402_IPC_H","1110.236","846.457","90","Resistor"
"R88","BottomLayer","R0402_IPC_H","736.221","736.221","180","Resistor"
"R89","BottomLayer","R0201_IPC_H","703.740","578.740","180","Resistor"
"R90","BottomLayer","R0201_IPC_H","703.740","610.236","180","Resistor"
"R91","BottomLayer","R0201_IPC_H","703.740","641.732","180","Resistor"
"R92","BottomLayer","R0201_IPC_H","703.740","673.228","180","Resistor"
"R93","BottomLayer","R0201_IPC_H","703.740","767.716","180","Resistor"
"R94","BottomLayer","R0402_IPC_H","656.496","814.961","90","Resistor"
"R95","BottomLayer","R0201_IPC_H","641.732","673.228","180","Resistor"
"R96","BottomLayer","R0201_IPC_H","641.732","704.724","180","Resistor"
"R97","BottomLayer","R0201_IPC_H","641.732","767.716","180","Resistor"
"R98","BottomLayer","R0201_IPC_H","640.748","610.236","180","Resistor"
"R99","BottomLayer","R0402_IPC_H","598.425","877.953","270","Resistor"
"R100","BottomLayer","R0201_IPC_H","577.756","578.740","360","Resistor"
"R101","BottomLayer","R0201_IPC_H","577.756","610.236","360","Resistor"
"R102","BottomLayer","R0201_IPC_H","577.756","641.732","360","Resistor"
"R103","BottomLayer","R0201_IPC_H","577.756","673.228","360","Resistor"
"R104","BottomLayer","R0201_IPC_H","577.756","704.724","360","Resistor"
"R105","BottomLayer","R0201_IPC_H","577.756","736.221","360","Resistor"
"R106","BottomLayer","R0201_IPC_H","577.756","767.716","360","Resistor"
"R107","BottomLayer","R0201_IPC_H","577.756","799.213","360","Resistor"
"R108","BottomLayer","R0402_IPC_H","484.252","578.740","360","Resistor"
"R109","BottomLayer","R0201_IPC_H","401.575","594.488","180","Resistor"
"R110","BottomLayer","R0201_IPC_H","401.575","625.984","180","Resistor"
"R111","BottomLayer","R0201_IPC_H","401.575","657.480","180","Resistor"
"R112","BottomLayer","R0201_IPC_H","401.575","688.976","180","Resistor"
"R113","BottomLayer","R0201_IPC_H","401.575","720.472","180","Resistor"
"R114","BottomLayer","R0201_IPC_H","401.575","751.968","180","Resistor"
"R115","BottomLayer","R0402_IPC_H","385.827","480.315","360","Resistor"
"R116","BottomLayer","R0402_IPC_H","208.661","799.213","360","Resistor"
"R117","BottomLayer","R0402_IPC_H","181.102","460.630","180","Resistor"
"R118","BottomLayer","R0402_IPC_H","173.228","988.189","360","Resistor"
"R119","BottomLayer","R0402_IPC_H","157.480","775.591","90","Resistor"
"R120","BottomLayer","R0402_IPC_H","149.606","1062.992","270","Resistor"
"U1","TopLayer","VSON-8_L","184.055","915.354","360","3-A Step-Down Converter With Hiccup Short-Circuit Protection"
"U2","TopLayer","CP-20-4_N","335.000","340.000","90","Octal 16-Bit PulSAR Analog-to-Digital Converter with Serial, SPI Interface, 250KSPS, -40 to +85 degC, CP-20-4, Pb-Free, Tube"
"U3","TopLayer","MICT-JT-96","610.236","830.709","0",""
"U4","TopLayer","CLG400","1299.213","736.220","360",""
"U5","TopLayer","VSON-8_L","1882.874","466.535","180","3-A Step-Down Converter With Hiccup Short-Circuit Protection"
"U6","TopLayer","SOT-23-OT6_L","1992.126","1011.811","180","2K SPI Bus Serial EEPROM with EUI-48 Node Identity, 6-Pin SOT-23, Industrial Temperature, Tape and Reel"
"U7","TopLayer","SON127P800X80_HS-9_N","2279.528","972.441","90","3V, 512M-BIT [x1/x2/x4], CMOS MXSMIO (SERIAL MULTI I/O) FLASH MEMORY"
"U8","TopLayer","CP-16-4_L","2299.213","507.874","90","1.2 A, Low VIN, Low Dropout Linear Regulator, 1.6 to 3.6 V Vin, 0.75 to 3 V Vout, Industrial, 16-pin QFN (CP-16-4), Reel"
"U9","TopLayer","X2SON-8_H","2484.252","834.646","0","2-Bit Bidirectional Voltage-Level Translator for Open-Drain and Push-Pull Applications"
"U10","TopLayer","H5077NL","2822.835","709.252","270","1000Base-T, Single Port Mini-Magnetics Modules"
"U11","BottomLayer","QFN40_H","2710.630","720.472","270","Integrated 10/100/1000 Gigabit Ethernet Transceiver"
"U12","BottomLayer","TSSOP-ST8_L","1968.504","1011.811","360","256K SPI Bus Serial EEPROM, 8-Pin TSSOP, Industrial Temperature"
"U13","BottomLayer","SOT23-H","1724.409","1082.677","90","3.3V EconoReset with Pushbutton"
"U14","BottomLayer","CP-20-4_N","335.000","340.000","90","Octal 16-Bit PulSAR Analog-to-Digital Converter with Serial, SPI Interface, 250KSPS, -40 to +85 degC, CP-20-4, Pb-Free, Tube"
"U15","BottomLayer","DRC0010J_V","251.968","704.724","270","Single Output LDO, 3 A, 2.375 to 3.5 V Input, with DDR Termination, 10-pin SON (DRC), -40 to 85 degC, Green (RoHS & no Sb/Br)"
"X1","BottomLayer","XRCGB_F","2687.992","925.197","360","Standard Crystal Oscillator"
"Y1","BottomLayer","ABRA-ASDMB-4_V","1055.118","1118.110","360","Plastic Package Clock Oscillator, 3.6864 MHz Frequency, 15 pF Output Load, 4-Pin 2.5 x 2 x 0.9 mm SMD, -40 to 85 degC, RoHS, Reel"
